NCB, PURL, FREE ACCESS,,,,INTERNAL ACCESS,,,
,,856:40, 856:41, 856:49, 958, 856:40, 856:41, 958, 997
453244,35952,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
1653815,37101,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
1661275,37102,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
382049,37103,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
458464,37106,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
1960456,37108,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
1960471,37109,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
1960534,37110,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2026205,37111,OK,OK,Doesn't exist,Internal Access,OK,OK,Internal - Digitized,Doesn't exist
2044820,37112,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002289,37113,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002347,37114,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002360,37115,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002383,37116,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002392,37117,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002395,37118,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002399,37119,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002657,37120,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002684,37121,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002691,37122,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002699,37123,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002780,37124,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002828,37125,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002837,37126,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002843,37127,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002846,37128,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002851,37129,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002862,37130,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002868,37131,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002971,37132,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002980,37133,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002894,37134,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002993,37135,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2002999,37136,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003038,37137,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003045,37138,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003066,37139,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003077,37140,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003158,37141,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003167,37142,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003173,37143,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003179,37144,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003183,37145,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003191,37146,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003199,37147,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003220,37148,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003268,37149,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003271,37150,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003281,37151,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003324,37152,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003330,37153,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003339,37154,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003389,37155,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003401,37156,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003427,37157,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003429,37158,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003434,37159,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003444,37160,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003455,37161,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003463,37162,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003521,37164,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003533,37165,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003561,37166,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003616,37167,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003623,37168,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003630,37169,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
